objective_parameter,scenario_of_interest,robustness_metric,year,flood_urb,Value,normalized_values,pw_combi
Municipality_Costs_[MEUR],D,average,20,0,0.0,0.0,00_00_00_00
Municipality_Costs_[MEUR],D,average,20,1,30.0,0.07,00_00_01_00
Municipality_Costs_[MEUR],D,average,20,3,30.0,0.08,00_00_03_00
Municipality_Costs_[MEUR],D,average,20,5,60.0,0.17,00_00_05_00
Municipality_Costs_[MEUR],D,average,20,7,150.0,0.44,00_00_07_00
Municipality_Costs_[MEUR],D,average,20,9,80.0,0.22,00_00_09_00
Municipality_Costs_[MEUR],D,average,20,11,30.0,0.07,00_00_11_00
Municipality_Costs_[MEUR],D,average,20,13,40.0,0.12,00_00_13_00
Municipality_Costs_[MEUR],D,average,60,0,0.0,0.0,00_00_00_00
Municipality_Costs_[MEUR],D,average,60,1,110.0,0.19,00_00_01_00
Municipality_Costs_[MEUR],D,average,60,3,110.0,0.18,00_00_03_00
Municipality_Costs_[MEUR],D,average,60,5,140.0,0.25,00_00_05_00
Municipality_Costs_[MEUR],D,average,60,7,360.0,0.64,00_00_07_00
Municipality_Costs_[MEUR],D,average,60,9,160.0,0.27,00_00_09_00
Municipality_Costs_[MEUR],D,average,60,11,180.0,0.32,00_00_11_00
Municipality_Costs_[MEUR],D,average,60,13,210.0,0.38,00_00_13_00
Municipality_Costs_[MEUR],D,average,100,0,0.0,0.0,00_00_00_00
Municipality_Costs_[MEUR],D,average,100,1,200.0,0.27,00_00_01_00
Municipality_Costs_[MEUR],D,average,100,3,190.0,0.26,00_00_03_00
Municipality_Costs_[MEUR],D,average,100,5,150.0,0.2,00_00_05_00
Municipality_Costs_[MEUR],D,average,100,7,380.0,0.52,00_00_07_00
Municipality_Costs_[MEUR],D,average,100,9,160.0,0.21,00_00_09_00
Municipality_Costs_[MEUR],D,average,100,11,400.0,0.55,00_00_11_00
Municipality_Costs_[MEUR],D,average,100,13,480.0,0.66,00_00_13_00
Municipality_Costs_[MEUR],D&G,average,20,0,0.0,0.0,00_00_00_00
Municipality_Costs_[MEUR],D&G,average,20,1,30.0,0.07,00_00_01_00
Municipality_Costs_[MEUR],D&G,average,20,3,30.0,0.08,00_00_03_00
Municipality_Costs_[MEUR],D&G,average,20,5,60.0,0.17,00_00_05_00
Municipality_Costs_[MEUR],D&G,average,20,7,150.0,0.44,00_00_07_00
Municipality_Costs_[MEUR],D&G,average,20,9,80.0,0.22,00_00_09_00
Municipality_Costs_[MEUR],D&G,average,20,11,30.0,0.07,00_00_11_00
Municipality_Costs_[MEUR],D&G,average,20,13,40.0,0.12,00_00_13_00
Municipality_Costs_[MEUR],D&G,average,60,0,0.0,0.0,00_00_00_00
Municipality_Costs_[MEUR],D&G,average,60,1,110.0,0.19,00_00_01_00
Municipality_Costs_[MEUR],D&G,average,60,3,110.0,0.19,00_00_03_00
Municipality_Costs_[MEUR],D&G,average,60,5,140.0,0.25,00_00_05_00
Municipality_Costs_[MEUR],D&G,average,60,7,360.0,0.64,00_00_07_00
Municipality_Costs_[MEUR],D&G,average,60,9,160.0,0.27,00_00_09_00
Municipality_Costs_[MEUR],D&G,average,60,11,180.0,0.32,00_00_11_00
Municipality_Costs_[MEUR],D&G,average,60,13,220.0,0.39,00_00_13_00
Municipality_Costs_[MEUR],D&G,average,100,0,0.0,0.0,00_00_00_00
Municipality_Costs_[MEUR],D&G,average,100,1,190.0,0.26,00_00_01_00
Municipality_Costs_[MEUR],D&G,average,100,3,190.0,0.25,00_00_03_00
Municipality_Costs_[MEUR],D&G,average,100,5,150.0,0.2,00_00_05_00
Municipality_Costs_[MEUR],D&G,average,100,7,380.0,0.52,00_00_07_00
